code,date,name,weight
000988,2018-03-30,华工科技,0.23
000990,2018-03-30,诚志股份,0.09
000997,2018-03-30,新 大 陆,0.36
000998,2018-03-30,隆平高科,0.48
000999,2018-03-30,华润三九,0.26
001696,2018-03-30,宗申动力,0.1
002001,2018-03-30,新和成,0.41
002002,2018-03-30,鸿达兴业,0.16
002004,2018-03-30,华邦健康,0.23
002005,2018-03-30,德豪润达,0.11
002011,2018-03-30,盾安环境,0.1
002013,2018-03-30,中航机电,0.27
002018,2018-03-30,华信国际,0.12
002019,2018-03-30,亿帆医药,0.33
002022,2018-03-30,科华生物,0.15
002028,2018-03-30,思源电气,0.21
002030,2018-03-30,达安基因,0.2
002032,2018-03-30,苏泊尔,0.16
002038,2018-03-30,双鹭药业,0.39
002041,2018-03-30,登海种业,0.09
002048,2018-03-30,宁波华翔,0.15
002049,2018-03-30,紫光国芯,0.46
002050,2018-03-30,三花智控,0.37
002051,2018-03-30,中工国际,0.22
002056,2018-03-30,横店东磁,0.19
002063,2018-03-30,远光软件,0.13
002064,2018-03-30,华峰氨纶,0.14
002073,2018-03-30,软控股份,0.13
002078,2018-03-30,太阳纸业,0.42
002092,2018-03-30,中泰化学,0.38
002093,2018-03-30,国脉科技,0.09
002106,2018-03-30,莱宝高科,0.11
002118,2018-03-30,紫鑫药业,0.11
002122,2018-03-30,天马股份,0.15
002123,2018-03-30,梦网集团,0.14
002127,2018-03-30,南极电商,0.31
002128,2018-03-30,露天煤业,0.16
002131,2018-03-30,利欧股份,0.23
002147,2018-03-30,新光圆成,0.2
002152,2018-03-30,广电运通,0.21
002155,2018-03-30,湖南黄金,0.16
002176,2018-03-30,江特电机,0.33
002179,2018-03-30,中航光电,0.42
002183,2018-03-30,怡亚通,0.27
002190,2018-03-30,成飞集成,0.1
002191,2018-03-30,劲嘉股份,0.19
002195,2018-03-30,二三四五,0.28
002221,2018-03-30,东华能源,0.23
002223,2018-03-30,鱼跃医疗,0.36
002233,2018-03-30,塔牌集团,0.13
002242,2018-03-30,九阳股份,0.14
002244,2018-03-30,滨江集团,0.28
002249,2018-03-30,大洋电机,0.19
002250,2018-03-30,联化科技,0.14
002251,2018-03-30,步步高,0.12
002254,2018-03-30,泰和新材,0.13
002261,2018-03-30,拓维信息,0.12
002266,2018-03-30,浙富控股,0.17
002268,2018-03-30,卫士通,0.3
002269,2018-03-30,美邦服饰,0.09
002271,2018-03-30,东方雨虹,0.53
002273,2018-03-30,水晶光电,0.26
002276,2018-03-30,万马股份,0.12
002277,2018-03-30,友阿股份,0.12
002280,2018-03-30,联络互动,0.19
002281,2018-03-30,光迅科技,0.22
002285,2018-03-30,世联行,0.24
002299,2018-03-30,圣农发展,0.17
002308,2018-03-30,威创股份,0.13
002311,2018-03-30,海大集团,0.37
002317,2018-03-30,众生药业,0.12
002325,2018-03-30,洪涛股份,0.08
002332,2018-03-30,仙琚制药,0.14
002340,2018-03-30,格林美,0.49
002342,2018-03-30,巨力索具,0.1
002344,2018-03-30,海宁皮城,0.08
002345,2018-03-30,潮宏基,0.12
002353,2018-03-30,杰瑞股份,0.21
002354,2018-03-30,天神娱乐,0.2
002358,2018-03-30,森源电气,0.19
002359,2018-03-30,北讯集团,0.36
002366,2018-03-30,台海核电,0.34
002368,2018-03-30,太极股份,0.17
002371,2018-03-30,北方华创,0.21
002373,2018-03-30,千方科技,0.27
002375,2018-03-30,亚厦股份,0.13
002384,2018-03-30,东山精密,0.34
002390,2018-03-30,信邦制药,0.19
002392,2018-03-30,北京利尔,0.08
002400,2018-03-30,省广集团,0.2
002405,2018-03-30,四维图新,0.65
002407,2018-03-30,多氟多,0.28
002408,2018-03-30,齐翔腾达,0.29
002410,2018-03-30,广联达,0.49
002414,2018-03-30,高德红外,0.07
002416,2018-03-30,爱施德,0.07
002422,2018-03-30,科伦药业,0.67
002428,2018-03-30,云南锗业,0.17
002431,2018-03-30,棕榈股份,0.2
002434,2018-03-30,万里扬,0.11
002437,2018-03-30,誉衡药业,0.12
002439,2018-03-30,启明星辰,0.36
002440,2018-03-30,闰土股份,0.24
002444,2018-03-30,巨星科技,0.16
002463,2018-03-30,沪电股份,0.13
002477,2018-03-30,雏鹰农牧,0.17
002479,2018-03-30,富春环保,0.1
002482,2018-03-30,广田集团,0.12
002489,2018-03-30,浙江永强,0.12
002491,2018-03-30,通鼎互联,0.29
002503,2018-03-30,搜于特,0.11
002505,2018-03-30,大康农业,0.17
002506,2018-03-30,协鑫集成,0.22
002512,2018-03-30,达华智能,0.19
002517,2018-03-30,恺英网络,0.24
002544,2018-03-30,杰赛科技,0.14
002551,2018-03-30,尚荣医疗,0.07
002573,2018-03-30,清新环境,0.24
002583,2018-03-30,海能达,0.25
002588,2018-03-30,史丹利,0.1
002589,2018-03-30,瑞康医药,0.28
002603,2018-03-30,以岭药业,0.18
002635,2018-03-30,安洁科技,0.15
002640,2018-03-30,跨境通,0.29
002642,2018-03-30,荣之联,0.12
002657,2018-03-30,中科金财,0.12
002663,2018-03-30,普邦股份,0.12
002665,2018-03-30,首航节能,0.2
002670,2018-03-30,国盛金控,0.25
002672,2018-03-30,东江环保,0.15
002681,2018-03-30,奋达科技,0.11
002690,2018-03-30,美亚光电,0.13
002699,2018-03-30,美盛文化,0.13
002701,2018-03-30,奥瑞金,0.17
002707,2018-03-30,众信旅游,0.13
002709,2018-03-30,天赐材料,0.19
002745,2018-03-30,木林森,0.21
002807,2018-03-30,江阴银行,0.16
002815,2018-03-30,崇达技术,0.04
002818,2018-03-30,富森美,0.03
300001,2018-03-30,特锐德,0.16
300002,2018-03-30,神州泰岳,0.24
300010,2018-03-30,立思辰,0.17
300026,2018-03-30,红日药业,0.18
300032,2018-03-30,金龙机电,0.16
300039,2018-03-30,上海凯宝,0.12
300043,2018-03-30,星辉娱乐,0.09
300055,2018-03-30,万邦达,0.29
300058,2018-03-30,蓝色光标,0.3
300088,2018-03-30,长信科技,0.34
300113,2018-03-30,顺网科技,0.23
300115,2018-03-30,长盈精密,0.25
300116,2018-03-30,坚瑞沃能,0.18
300133,2018-03-30,华策影视,0.21
300134,2018-03-30,大富科技,0.13
300146,2018-03-30,汤臣倍健,0.3
300147,2018-03-30,香雪制药,0.1
300159,2018-03-30,新研股份,0.22
300166,2018-03-30,东方国信,0.33
300182,2018-03-30,捷成股份,0.33
300197,2018-03-30,铁汉生态,0.25
300199,2018-03-30,翰宇药业,0.18
300202,2018-03-30,聚龙股份,0.15
300244,2018-03-30,迪安诊断,0.21
300253,2018-03-30,卫宁健康,0.34
300257,2018-03-30,开山股份,0.13
300266,2018-03-30,兴源环境,0.31
300273,2018-03-30,和佳股份,0.12
300274,2018-03-30,阳光电源,0.48
300287,2018-03-30,飞利信,0.24
300291,2018-03-30,华录百纳,0.12
300297,2018-03-30,蓝盾股份,0.15
300324,2018-03-30,旋极信息,0.27
300376,2018-03-30,易事特,0.17
300383,2018-03-30,光环新网,0.46
