code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600826,兰生股份,0.69,-65.5,,7.9,,28819.25,-65.71,10派2.1,03-24
002302,西部建设,0.1,-67.74,,2.46,,10574.12,-66.57,10派0.7,03-30
603528,多伦科技,0.16,-89.91,,7.48,,10193.06,-66.99,,03-30
600973,宝胜股份,0.07,-76.17,,2.4,,8623.74,-67.54,,03-31
000936,华西股份,0.22,-67.65,,4.17,,19539.96,-67.67,10派0.3,03-30
300520,科大国创,0.09,-87.5,,3.44,,1837.44,-67.72,10派0.25,03-27
000531,穗恒运A,0.27,-67.88,,4.71,,18423.96,-67.87,,03-31
300516,久之洋,0.37,-71.76,,3.84,,4454.2,-68.39,,03-30
600458,时代新材,0.09,-70.0,,1.41,,6922.39,-71.39,10派0.5,03-29
000014,沙河股份,0.04,-73.34,,1.03,,763.03,-73.32,10派0.1,03-29
